,brent,brent,brent,brent,brent,brent,wti,wti,wti,wti,wti,wti
,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT
timestamp,,,,,,,,,,,,
2014-06-05,,,,,,,102.68,101.6,102.24,102.48,44180.0,-1.0
2014-06-06,109.31,108.46,108.85,108.61,155003.0,-1.0,103.07,102.3,102.42,102.66,34563.0,-1.0
2014-06-09,110.16,108.55,108.68,109.99,189210.0,-1.0,104.56,102.61,102.64,104.41,49361.0,-1.0
2014-06-10,110.32,109.1,109.95,109.52,214916.0,-1.0,105.05,103.98,104.49,104.35,47247.0,-1.0
2014-06-11,110.25,109.44,109.61,109.95,131570.0,-1.0,104.82,104.16,104.4,104.4,34087.0,-1.0
2014-06-12,113.34,110.0,110.09,113.02,133073.0,-1.0,106.94,104.4,104.43,106.53,53507.0,-1.0
2014-06-13,114.69,112.75,113.75,113.41,16054.0,-1.0,107.56,106.38,107.53,106.91,42665.0,-1.0
2014-06-16,113.28,112.33,112.73,112.94,175895.0,-1.0,107.52,106.6,107.25,106.9,36543.0,-1.0
2014-06-17,113.8,112.16,112.97,113.45,240515.0,-1.0,107.2,106.03,106.75,106.36,44978.0,-1.0
2014-06-18,114.54,113.05,113.46,114.26,240752.0,-1.0,106.97,105.8,106.59,105.97,36943.0,-1.0
2014-06-19,115.71,114.15,114.22,115.06,250241.0,-1.0,106.68,105.33,106.35,106.43,14086.0,-1.0
2014-06-20,115.11,114.43,114.92,114.81,198840.0,-1.0,106.93,105.83,106.06,106.83,35155.0,-1.0
2014-06-23,115.66,113.86,114.99,114.12,220720.0,-1.0,107.36,105.93,106.84,106.17,32971.0,-1.0
2014-06-24,114.83,113.55,113.9,114.46,230490.0,-1.0,106.46,105.53,105.55,106.03,41421.0,-1.0
2014-06-25,114.65,113.23,114.31,114.0,211906.0,-1.0,107.04,105.48,107.01,106.5,54125.0,-1.0
2014-06-26,114.29,113.0,114.24,113.21,180862.0,-1.0,106.77,105.05,106.77,105.84,37806.0,-1.0
2014-06-27,113.71,112.9,113.07,113.3,135705.0,-1.0,106.19,105.34,105.65,105.74,15991.0,-1.0
2014-06-30,113.3,112.16,113.3,112.36,221843.0,-1.0,105.74,104.68,105.55,105.37,45842.0,-1.0
2014-07-01,112.83,111.85,112.5,112.29,229188.0,-1.0,106.1,104.61,105.48,105.34,48967.0,-1.0
2014-07-02,112.42,110.92,112.19,111.24,269764.0,-1.0,105.53,104.12,105.39,104.48,42844.0,-1.0
2014-07-03,111.17,110.53,111.0,111.0,218983.0,-1.0,104.26,103.67,104.01,104.06,32351.0,-1.0
2014-07-04,111.29,110.56,111.05,110.64,71846.0,-1.0,104.13,103.66,103.95,103.78,3974.0,-1.0
2014-07-07,110.92,109.88,110.65,110.24,152507.0,-1.0,104.06,103.2,103.78,103.53,37028.0,-1.0
2014-07-08,110.16,108.69,110.0,108.94,232726.0,-1.0,104.2,103.02,103.41,103.4,56900.0,-1.0
2014-07-09,109.0,108.12,108.97,108.28,173181.0,-1.0,103.6,101.93,103.48,102.29,48872.0,-1.0
2014-07-10,108.88,107.76,108.15,108.67,152467.0,-1.0,103.02,101.55,101.92,102.93,45846.0,-1.0
