Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2010-01-04,1133.87,1132.99,1116.56,1116.56,
2010-01-05,1136.63,1136.52,1129.66,1132.66,
2010-01-06,1139.19,1137.14,1133.95,1135.71,
2010-01-07,1142.46,1141.69,1131.32,1136.27,
2010-01-08,1145.39,1144.98,1136.22,1140.52,
2010-01-11,1149.74,1146.98,1142.02,1145.96,
2010-01-12,1143.81,1136.22,1131.77,1143.81,
2010-01-13,1148.4,1145.68,1133.18,1137.31,
2010-01-14,1150.41,1148.46,1143.8,1145.68,
2010-01-15,1147.77,1136.03,1131.39,1147.72,
2010-01-19,1150.45,1150.23,1135.77,1136.03,
2010-01-20,1147.95,1138.04,1129.25,1147.95,
2010-01-21,1141.58,1116.48,1114.84,1138.68,
2010-01-22,1115.49,1091.76,1090.18,1115.49,
2010-01-25,1102.97,1096.78,1092.4,1092.4,
2010-01-26,1103.69,1092.17,1089.86,1095.8,
2010-01-27,1099.51,1097.5,1083.11,1091.94,
2010-01-28,1100.22,1084.53,1078.46,1096.93,
2010-01-29,1096.45,1073.87,1071.59,1087.61,
2010-02-01,1089.38,1089.19,1073.89,1073.89,
2010-02-02,1104.73,1103.32,1087.96,1090.05,
2010-02-03,1102.72,1097.28,1093.97,1100.67,
2010-02-04,1097.25,1063.11,1062.78,1097.25,
2010-02-05,1067.13,1066.19,1044.5,1064.12,
2010-02-08,1071.2,1056.74,1056.51,1065.51,
2010-02-09,1079.28,1070.52,1060.06,1060.06,
2010-02-10,1073.67,1068.13,1059.34,1069.68,
2010-02-11,1080.04,1078.47,1060.59,1067.1,
2010-02-12,1077.81,1075.51,1062.97,1075.95,
2010-02-16,1095.67,1094.87,1079.13,1079.13,
2010-02-17,1101.03,1099.51,1094.72,1096.14,
2010-02-18,1108.24,1106.75,1097.48,1099.03,
2010-02-19,1112.42,1109.17,1100.8,1105.49,
2010-02-22,1112.29,1108.01,1105.38,1110.0,
2010-02-23,1108.58,1094.6,1092.18,1107.49,
2010-02-24,1106.42,1105.24,1095.5,1095.89,
2010-02-25,1103.5,1102.94,1086.02,1101.24,
2010-02-26,1107.24,1104.49,1097.56,1103.1,
2010-03-01,1116.11,1115.71,1105.36,1105.36,
2010-03-02,1123.46,1118.31,1116.51,1117.01,
2010-03-03,1125.64,1118.79,1116.58,1119.36,
2010-03-04,1123.73,1122.97,1116.66,1119.12,
2010-03-05,1139.38,1138.7,1125.12,1125.12,
2010-03-08,1141.05,1138.5,1136.77,1138.4,
2010-03-09,1145.37,1140.45,1134.9,1137.56,
2010-03-10,1148.26,1145.61,1140.09,1140.22,
2010-03-11,1150.24,1150.24,1138.99,1143.96,
2010-03-12,1153.41,1149.99,1146.97,1151.71,
2010-03-15,1150.98,1150.51,1141.45,1148.53,
2010-03-16,1160.28,1159.46,1150.35,1150.83,
2010-03-17,1169.84,1166.21,1159.94,1159.94,
2010-03-18,1167.77,1165.83,1161.16,1166.13,
2010-03-19,1169.2,1159.9,1155.33,1166.68,
2010-03-22,1167.82,1165.81,1152.88,1157.25,
2010-03-23,1174.72,1174.17,1163.83,1166.47,
2010-03-24,1173.04,1167.72,1166.01,1172.7,
2010-03-25,1180.69,1165.73,1165.09,1170.03,
2010-03-26,1173.93,1166.59,1161.48,1167.58,
2010-03-29,1174.85,1173.22,1167.71,1167.71,
2010-03-30,1177.83,1173.27,1168.92,1173.75,
2010-03-31,1174.56,1169.43,1165.77,1171.75,
2010-04-01,1181.43,1178.1,1170.69,1171.23,
2010-04-05,1187.73,1187.44,1178.71,1178.71,
2010-04-06,1191.8,1189.44,1182.77,1186.01,
2010-04-07,1189.6,1182.45,1177.25,1188.23,
2010-04-08,1188.55,1186.44,1175.12,1181.75,
2010-04-09,1194.66,1194.37,1187.15,1187.47,
2010-04-12,1199.2,1196.48,1194.71,1194.94,
2010-04-13,1199.04,1197.3,1188.82,1195.94,
2010-04-14,1210.65,1210.65,1198.69,1198.69,
2010-04-15,1213.92,1211.67,1208.5,1210.77,
2010-04-16,1210.17,1192.13,1186.77,1210.17,
2010-04-19,1197.87,1197.52,1183.68,1192.06,
2010-04-20,1208.58,1207.17,1199.04,1199.04,
2010-04-21,1210.99,1205.94,1198.85,1207.16,
2010-04-22,1210.27,1208.67,1190.19,1202.52,
2010-04-23,1217.28,1217.28,1205.1,1207.87,
2010-04-26,1219.8,1212.05,1211.07,1217.07,
2010-04-27,1211.38,1183.71,1181.62,1209.92,
2010-04-28,1195.05,1191.36,1181.81,1184.59,
2010-04-29,1209.36,1206.78,1193.3,1193.3,
2010-04-30,1207.99,1186.69,1186.32,1206.77,
2010-05-03,1205.13,1202.26,1188.58,1188.58,
2010-05-04,1197.5,1173.6,1168.12,1197.5,
2010-05-05,1175.95,1165.9,1158.15,1169.24,
2010-05-06,1167.58,1128.15,1065.79,1164.38,
2010-05-07,1135.13,1110.88,1094.15,1127.04,
2010-05-10,1163.85,1159.73,1122.27,1122.27,
2010-05-11,1170.48,1155.79,1147.71,1156.39,
2010-05-12,1172.87,1171.67,1155.43,1155.43,
2010-05-13,1173.57,1157.44,1156.14,1170.04,
2010-05-14,1157.19,1135.68,1126.14,1157.19,
2010-05-17,1141.88,1136.94,1114.96,1136.52,
2010-05-18,1148.66,1120.8,1117.2,1138.78,
2010-05-19,1124.27,1115.05,1100.66,1119.57,
2010-05-20,1107.34,1071.59,1071.58,1107.34,
2010-05-21,1090.16,1087.69,1055.9,1067.26,
2010-05-24,1089.95,1073.65,1072.7,1084.78,
2010-05-25,1074.75,1074.03,1040.78,1067.42,
2010-05-26,1090.75,1067.95,1065.59,1075.51,
2010-05-27,1103.52,1103.06,1074.27,1074.27,
2010-05-28,1102.59,1089.41,1084.78,1102.59,
2010-06-01,1094.77,1070.71,1069.89,1087.3,
2010-06-02,1098.56,1098.38,1072.03,1073.01,
2010-06-03,1105.67,1102.83,1091.81,1098.82,
2010-06-04,1098.43,1064.88,1060.5,1098.43,
2010-06-07,1071.36,1050.47,1049.86,1065.84,
2010-06-08,1063.15,1062.0,1042.17,1050.81,
2010-06-09,1077.74,1055.69,1052.25,1062.75,
2010-06-10,1087.85,1086.84,1058.77,1058.77,
2010-06-11,1092.25,1091.6,1077.12,1082.65,
2010-06-14,1105.91,1089.63,1089.03,1095.0,
2010-06-15,1115.59,1115.23,1091.21,1091.21,
2010-06-16,1118.74,1114.61,1107.13,1114.02,
2010-06-17,1117.72,1116.04,1105.87,1115.98,
2010-06-18,1121.01,1117.51,1113.93,1116.16,
2010-06-21,1131.23,1113.2,1108.24,1122.79,
2010-06-22,1118.5,1095.31,1094.18,1113.9,
2010-06-23,1099.64,1092.04,1085.31,1095.57,
2010-06-24,1090.93,1073.69,1071.6,1090.93,
2010-06-25,1083.56,1076.76,1067.89,1075.1,
2010-06-28,1082.6,1074.57,1071.45,1077.5,
2010-06-29,1071.1,1041.24,1035.18,1071.1,
2010-06-30,1048.08,1030.71,1028.33,1040.56,
2010-07-01,1033.58,1027.37,1010.91,1031.1,
2010-07-02,1032.95,1022.58,1015.93,1027.65,
2010-07-06,1042.5,1028.06,1018.35,1028.09,
2010-07-07,1060.89,1060.27,1028.54,1028.54,
2010-07-08,1071.25,1070.25,1058.24,1062.92,
2010-07-09,1078.16,1077.96,1068.1,1070.5,
2010-07-12,1080.78,1078.75,1070.45,1077.23,
2010-07-13,1099.46,1095.34,1080.65,1080.65,
2010-07-14,1099.08,1095.17,1087.68,1095.61,
2010-07-15,1098.66,1096.48,1080.53,1094.46,
2010-07-16,1093.85,1064.88,1063.32,1093.85,
2010-07-19,1074.7,1071.25,1061.11,1066.85,
2010-07-20,1083.94,1083.48,1056.88,1064.53,
2010-07-21,1088.96,1069.59,1065.25,1086.67,
2010-07-22,1097.5,1093.67,1072.14,1072.14,
2010-07-23,1103.73,1102.66,1087.88,1092.17,
2010-07-26,1115.01,1115.01,1101.3,1102.89,
2010-07-27,1120.95,1113.84,1109.78,1117.36,
2010-07-28,1114.66,1106.13,1103.11,1112.84,
2010-07-29,1115.9,1101.53,1092.82,1108.07,
2010-07-30,1106.44,1101.6,1088.01,1098.44,
2010-08-02,1127.3,1125.86,1107.53,1107.53,
2010-08-03,1125.44,1120.46,1116.76,1125.34,
2010-08-04,1128.75,1127.24,1119.46,1121.06,
2010-08-05,1126.56,1125.81,1118.81,1125.78,
2010-08-06,1123.06,1121.64,1107.17,1122.07,
2010-08-09,1129.24,1127.79,1120.91,1122.8,
2010-08-10,1127.16,1121.06,1111.58,1122.92,
2010-08-11,1116.89,1089.47,1088.55,1116.89,
2010-08-12,1086.72,1083.61,1076.69,1081.48,
2010-08-13,1086.25,1079.25,1079.0,1082.22,
2010-08-16,1082.62,1079.38,1069.49,1077.49,
2010-08-17,1100.14,1092.54,1081.16,1081.16,
2010-08-18,1099.77,1094.16,1085.76,1092.08,
2010-08-19,1092.44,1075.63,1070.66,1092.44,
2010-08-20,1075.63,1071.69,1063.91,1075.63,
2010-08-23,1081.58,1067.36,1067.08,1073.36,
2010-08-24,1063.2,1051.87,1046.68,1063.2,
2010-08-25,1059.38,1055.33,1039.83,1048.98,
2010-08-26,1061.45,1047.22,1045.4,1056.28,
2010-08-27,1065.21,1064.59,1039.7,1049.27,
2010-08-30,1064.4,1048.92,1048.79,1062.9,
2010-08-31,1055.14,1049.33,1040.88,1046.88,
2010-09-01,1081.3,1080.29,1049.72,1049.72,
2010-09-02,1090.1,1090.1,1080.39,1080.66,
2010-09-03,1105.1,1104.51,1093.61,1093.61,
2010-09-07,1102.6,1091.84,1091.15,1102.6,
2010-09-08,1103.26,1098.87,1092.36,1092.36,
2010-09-09,1110.27,1104.18,1101.15,1101.15,
2010-09-10,1110.88,1109.55,1103.92,1104.57,
2010-09-13,1123.87,1121.9,1113.38,1113.38,
2010-09-14,1127.36,1121.1,1115.58,1121.16,
2010-09-15,1126.46,1125.07,1114.63,1119.43,
2010-09-16,1125.44,1124.66,1118.88,1123.89,
2010-09-17,1131.47,1125.59,1122.43,1126.39,
2010-09-20,1144.86,1142.71,1126.57,1126.57,
2010-09-21,1148.59,1139.78,1136.22,1142.82,
2010-09-22,1144.38,1134.28,1131.58,1139.49,
2010-09-23,1136.77,1124.83,1122.79,1131.1,
2010-09-24,1148.9,1148.67,1131.69,1131.69,
2010-09-27,1149.92,1142.16,1142.0,1148.64,
2010-09-28,1150.0,1147.7,1132.09,1142.31,
2010-09-29,1148.63,1144.73,1140.26,1146.75,
