Date,HIGH,CLOSE,LOW,OPEN
2010-01-04,3.904,3.823,3.808,3.858
2010-01-05,3.831,3.765,3.749,3.825
2010-01-06,3.839,3.829,3.761,3.767
2010-01-07,3.861,3.827,3.8,3.829
2010-01-08,3.859,3.836,3.775,3.827
2010-01-11,3.848,3.82,3.796,3.804
2010-01-12,3.81,3.717,3.707,3.808
2010-01-13,3.795,3.793,3.709,3.715
2010-01-14,3.801,3.742,3.709,3.781
2010-01-15,3.744,3.676,3.657,3.742
2010-01-19,3.729,3.7,3.644,3.667
2010-01-20,3.704,3.653,3.636,3.702
2010-01-21,3.688,3.595,3.592,3.649
2010-01-22,3.632,3.601,3.58,3.601
2010-01-25,3.654,3.63,3.611,3.621
2010-01-26,3.642,3.621,3.563,3.632
2010-01-27,3.656,3.65,3.576,3.628
2010-01-28,3.696,3.642,3.638,3.659
2010-01-29,3.695,3.588,3.582,3.636
2010-02-01,3.668,3.656,3.598,3.606
2010-02-02,3.675,3.639,3.633,3.664
2010-02-03,3.709,3.707,3.644,3.65
2010-02-04,3.711,3.61,3.588,3.697
2010-02-05,3.645,3.571,3.537,3.617
2010-02-08,3.606,3.562,3.5616,3.579
2010-02-09,3.647,3.641,3.563,3.566
2010-02-10,3.711,3.69,3.614,3.651
2010-02-11,3.765,3.721,3.685,3.715
2010-02-12,3.727,3.695,3.668,3.727
2010-02-16,3.727,3.663,3.657,3.697
2010-02-17,3.755,3.738,3.67,3.676
2010-02-18,3.82,3.807,3.71,3.727
2010-02-19,3.828,3.776,3.773,3.818
2010-02-22,3.807,3.796,3.778,3.784
2010-02-23,3.803,3.689,3.683,3.797
2010-02-24,3.716,3.693,3.659,3.697
2010-02-25,3.702,3.634,3.629,3.7
2010-02-26,3.657,3.619,3.585,3.64
2010-03-01,3.64,3.608,3.595,3.625
2010-03-02,3.653,3.61,3.606,3.615
2010-03-03,3.655,3.621,3.604,3.614
2010-03-04,3.653,3.606,3.593,3.623
2010-03-05,3.702,3.685,3.6,3.608
2010-03-08,3.731,3.721,3.689,3.693
2010-03-09,3.723,3.701,3.678,3.718
2010-03-10,3.748,3.721,3.693,3.704
2010-03-11,3.752,3.727,3.706,3.729
2010-03-12,3.781,3.703,3.685,3.737
2010-03-15,3.731,3.697,3.691,3.712
2010-03-16,3.716,3.653,3.647,3.699
2010-03-17,3.668,3.642,3.628,3.653
2010-03-18,3.682,3.676,3.619,3.645
2010-03-19,3.712,3.693,3.649,3.682
2010-03-22,3.716,3.661,3.657,3.689
2010-03-23,3.691,3.689,3.647,3.666
2010-03-24,3.856,3.851,3.682,3.685
2010-03-25,3.928,3.882,3.822,3.845
2010-03-26,3.901,3.851,3.847,3.868
2010-03-29,3.889,3.868,3.847,3.87
2010-03-30,3.901,3.859,3.853,3.866
2010-03-31,3.872,3.833,3.818,3.866
2010-04-01,3.888,3.868,3.826,3.839
2010-04-02,3.952,3.943,3.859,3.87
2010-04-05,4.013,3.988,3.941,3.943
2010-04-06,3.98,3.956,3.937,3.972
2010-04-07,3.968,3.863,3.857,3.954
2010-04-08,3.898,3.89,3.838,3.867
2010-04-09,3.927,3.882,3.875,3.894
2010-04-12,3.925,3.838,3.83,3.918
2010-04-13,3.848,3.82,3.801,3.848
2010-04-14,3.869,3.865,3.803,3.826
2010-04-15,3.891,3.836,3.826,3.861
2010-04-16,3.84,3.77,3.759,3.834
2010-04-19,3.807,3.803,3.739,3.743
2010-04-20,3.825,3.797,3.792,3.793
2010-04-21,3.817,3.743,3.736,3.797
2010-04-22,3.784,3.77,3.711,3.743
2010-04-23,3.833,3.817,3.759,3.769
2010-04-26,3.84,3.809,3.78,3.823
2010-04-27,3.809,3.693,3.674,3.805
2010-04-28,3.778,3.767,3.674,3.693
2010-04-29,3.788,3.732,3.726,3.765
2010-04-30,3.755,3.659,3.655,3.728
2010-05-03,3.713,3.692,3.657,3.663
2010-05-04,3.711,3.598,3.592,3.684
2010-05-05,3.619,3.546,3.488,3.592
2010-05-06,3.592,3.405,3.266,3.556
2010-05-07,3.516,3.42,3.297,3.398
2010-05-10,3.607,3.541,3.488,3.488
2010-05-11,3.577,3.531,3.465,3.533
2010-05-12,3.584,3.571,3.495,3.522
2010-05-13,3.609,3.537,3.524,3.577
2010-05-14,3.545,3.457,3.413,3.522
2010-05-17,3.494,3.491,3.381,3.453
2010-05-18,3.5,3.353,3.348,3.476
2010-05-19,3.398,3.37,3.311,3.326
2010-05-20,3.374,3.216,3.198,3.368
2010-05-21,3.26,3.236,3.102,3.229
2010-05-24,3.238,3.198,3.161,3.238
2010-05-25,3.198,3.16,3.064,3.194
2010-05-26,3.267,3.192,3.151,3.187
2010-05-27,3.364,3.357,3.19,3.194
2010-05-28,3.349,3.303,3.294,3.348
2010-06-01,3.316,3.263,3.226,3.3
2010-06-02,3.349,3.347,3.256,3.276
2010-06-03,3.427,3.369,3.325,3.336
2010-06-04,3.381,3.208,3.19,3.373
2010-06-07,3.244,3.146,3.137,3.175
2010-06-08,3.195,3.189,3.142,3.162
2010-06-09,3.244,3.178,3.175,3.197
2010-06-10,3.327,3.325,3.175,3.189
2010-06-11,3.321,3.233,3.214,3.319
2010-06-14,3.33,3.262,3.249,3.257
2010-06-15,3.325,3.308,3.224,3.264
2010-06-16,3.315,3.264,3.236,3.31
2010-06-17,3.295,3.192,3.181,3.251
2010-06-18,3.232,3.225,3.179,3.203
2010-06-21,3.31,3.247,3.232,3.278
2010-06-22,3.274,3.165,3.157,3.253
2010-06-23,3.186,3.125,3.092,3.166
2010-06-24,3.146,3.135,3.065,3.125
2010-06-25,3.168,3.11,3.081,3.137
2010-06-28,3.108,3.023,3.016,3.101
2010-06-29,3.035,2.953,2.951,3.035
2010-06-30,2.988,2.935,2.928,2.953
2010-07-01,2.956,2.954,2.881,2.942
2010-07-02,2.991,2.977,2.909,2.949
2010-07-06,2.995,2.936,2.914,2.925
2010-07-07,2.993,2.984,2.916,2.941
2010-07-08,3.05,3.038,2.973,2.987
2010-07-09,3.066,3.057,3.023,3.031
2010-07-12,3.068,3.066,3.009,3.056
2010-07-13,3.128,3.123,3.025,3.061
2010-07-14,3.132,3.05,3.039,3.132
2010-07-15,3.084,2.994,2.965,3.041
2010-07-16,3.01,2.927,2.916,2.996
2010-07-19,2.977,2.963,2.916,2.93
2010-07-20,2.975,2.957,2.896,2.961
2010-07-21,2.968,2.882,2.855,2.95
2010-07-22,2.948,2.932,2.866,2.884
2010-07-23,3.002,3.0,2.926,2.951
2010-07-26,3.036,2.996,2.973,2.991
2010-07-27,3.056,3.049,2.983,3.0
2010-07-28,3.061,2.996,2.987,3.043
