Dates,CO1 Comdty,CO2 Comdty,CO3 Comdty,CO4 Comdty,CO5 Comdty,CL1 Comdty,CL2 Comdty,CL3 Comdty,CL4 Comdty,CL5 Comdty
03/01/1990,21.69,20.95,20.34,20,20,23.68,22.97,22.48,22.05,21.68
04/01/1990,21.51,20.78,20.21,19.77,19.55,23.41,22.53,22.02,21.57,21.15
05/01/1990,22,20.75,20.16,19.72,19.5,23.08,22.03,21.45,20.99,20.57
08/01/1990,20.52,19.69,19.19,18.76,18.76,21.62,21.03,20.61,20.25,19.91
09/01/1990,20.14,19.28,18.74,18.34,18.34,22.07,21.23,20.78,20.42,20.08
10/01/1990,19.88,19.24,18.73,18.25,18.25,22.9,21.99,21.46,21.04,20.65
11/01/1990,20.27,19.76,19.25,18.77,18.77,23.14,22.17,21.62,21.16,20.75
12/01/1990,20.05,19.36,19.07,18.59,18.59,23.13,22.13,21.51,21.02,20.58
15/01/1990,19.53,18.9,18.45,18.08,18.08,22.36,21.49,20.95,20.53,20.14
16/01/1990,19.58,19.01,18.56,18.1,18.1,22.78,21.73,21.11,20.63,20.21
17/01/1990,19.2,18.74,18.34,17.88,17.88,22.1,21.26,20.7,20.3,19.95
18/01/1990,19.47,18.95,18.45,17.99,17.99,22.76,21.59,20.97,20.5,20.1
19/01/1990,19.92,19.34,18.9,18.44,18.44,23.67,22.08,21.37,20.85,20.42
22/01/1990,19.66,19.1,18.66,18.2,18.2,22.55,21.77,21.15,20.75,20.36
23/01/1990,19.21,18.79,18.47,18.2,18.2,21.6,21.02,20.63,20.26,19.92
24/01/1990,19.29,18.84,18.5,18.23,18.23,21.59,20.92,20.53,20.18,19.85
25/01/1990,19.73,19.23,18.81,18.4,18.4,22.24,21.41,20.97,20.6,20.26
26/01/1990,19.86,19.32,18.78,18.68,18.68,22.56,21.67,21.23,20.88,20.55
29/01/1990,20.05,19.5,19.11,18.81,18.81,22.8,22.01,21.56,21.18,20.84
30/01/1990,19.87,19.35,19.05,18.75,18.75,22.46,21.77,21.39,21.04,20.72
31/01/1990,20.06,19.57,19.25,18.95,18.95,22.68,21.93,21.51,21.16,20.83
01/02/1990,19.93,19.4,19.09,18.79,18.79,22.7,21.87,21.5,21.16,20.85
02/02/1990,20.19,19.63,19.24,19.06,18.79,23.02,22.31,21.94,21.59,21.27
05/02/1990,19.78,19.26,18.87,18.7,18.5,22.39,21.73,21.38,21.04,20.73
06/02/1990,19.88,19.39,19,18.8,18.8,22.51,21.83,21.46,21.1,20.77
07/02/1990,19.69,19.26,19.15,18.95,18.7,22.32,21.68,21.38,21.08,20.78
08/02/1990,19.48,19.23,18.97,18.8,18.7,22.09,21.65,21.37,21.09,20.81
09/02/1990,19.6,19.23,19.01,18.77,18.67,21.74,21.56,21.4,21.2,21
12/02/1990,19.33,19.14,18.88,18.78,18.53,22.03,21.84,21.66,21.44,21.21
13/02/1990,19.4,19.25,19.1,18.78,18.53,21.9,21.82,21.76,21.54,21.31
14/02/1990,19.49,19.4,19.38,18.84,18.59,22.07,21.95,21.81,21.61,21.37
15/02/1990,19.84,19.63,19.55,19.01,18.76,22.84,22.43,22.24,22.04,21.8
16/02/1990,19.71,19.55,19.44,18.85,18.6,22.42,22.25,22.04,21.83,21.58
19/02/1990,19.58,19.41,19.05,18.44,18.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/02/1990,19.59,19.42,19.25,18.64,18.39,22.19,22.14,21.93,21.7,21.42
21/02/1990,19.39,19.26,19.12,18.9,18.72,21.74,21.6,21.4,21.13,20.88
22/02/1990,19.3,19.28,19.27,19.09,19.91,21.75,21.73,21.59,21.32,21.06
23/02/1990,19.19,19.23,19.23,19.15,19.3,21.42,21.47,21.42,21.21,21
26/02/1990,19.58,19.56,19.54,19.44,19.42,21.79,21.88,21.86,21.7,21.54
27/02/1990,19.41,19.43,19.4,19.27,19.23,21.58,21.65,21.64,21.52,21.36
28/02/1990,19.48,19.47,19.28,19.21,19.06,21.54,21.56,21.53,21.38,21.2
01/03/1990,19.24,19.25,19.18,19.11,18.96,21.17,21.25,21.24,21.1,20.91
02/03/1990,19.28,19.29,19.23,19.09,18.96,21.35,21.37,21.34,21.17,20.98
05/03/1990,19.43,19.45,19.55,19.24,19.11,21.58,21.69,21.7,21.55,21.35
06/03/1990,19.33,19.35,19.29,19.15,19.02,19.33,21.48,21.52,21.39,21.2
07/03/1990,19.13,19.19,19.2,19.09,18.96,20.93,21.17,21.29,21.25,21.11
08/03/1990,18.86,18.98,19.05,18.94,18.81,20.78,21.01,21.11,21.07,20.94
09/03/1990,18.88,18.78,18.84,18.78,18.78,20.43,20.65,20.81,20.78,20.68
12/03/1990,18.62,18.7,18.62,18.62,18.54,20.24,20.4,20.49,20.46,20.38
13/03/1990,18.6,18.6,18.52,18.52,18.44,20.22,20.39,20.51,20.48,20.41
14/03/1990,18.52,18.61,18.55,18.58,18.58,20.05,20.32,20.45,20.46,20.45
15/03/1990,18.74,18.81,18.8,18.83,18.83,20.38,20.68,20.8,20.8,20.76
16/03/1990,18.56,18.7,18.67,18.65,18.65,20.07,20.38,20.58,20.65,20.65
19/03/1990,18.2,18.43,18.46,18.44,18.44,19.6,19.96,20.29,20.47,20.56
20/03/1990,18.05,18.3,18.33,18.31,18.25,19.28,19.77,20.05,20.24,20.35
21/03/1990,18.17,18.32,18.4,18.43,18.37,19.96,20.2,20.36,20.43,20.47
22/03/1990,18.16,18.32,18.34,18.45,18.45,20,20.19,20.25,20.23,20.22
23/03/1990,18.4,18.49,18.43,18.54,18.54,20.39,20.5,20.5,20.43,20.39
26/03/1990,18.46,18.46,18.47,18.58,18.58,20.46,20.55,20.55,20.46,20.41
27/03/1990,18.46,18.54,18.54,18.59,18.5,20.48,20.66,20.67,20.6,20.55
28/03/1990,18.32,18.46,18.49,18.54,18.45,20.08,20.37,20.52,20.52,20.52
29/03/1990,18.33,18.5,18.56,18.57,18.6,20.05,20.34,20.5,20.53,20.55
30/03/1990,18.38,18.59,18.64,18.63,18.6,20.28,20.57,20.69,20.73,20.76
02/04/1990,18.62,18.79,18.85,18.73,18.73,20.48,20.8,20.98,21.03,21.05
03/04/1990,18.48,18.68,18.83,18.71,18.71,20.3,20.63,20.83,20.91,20.95
04/04/1990,18.09,18.35,18.7,18.64,18.64,19.78,20.18,20.5,20.66,20.73
05/04/1990,17.65,18.04,18.29,18.38,18.38,19.43,19.77,20.05,20.23,20.33
06/04/1990,17.43,17.95,18.35,18.4,18.4,19.15,19.56,19.86,20.08,20.22
09/04/1990,16.79,17.31,17.75,17.95,17.95,18.44,18.95,19.35,19.66,19.91
10/04/1990,16.35,16.7,17.2,17.75,17.55,17.68,18.34,18.84,19.23,19.54
11/04/1990,16.84,17.45,17.77,17.97,17.97,18.06,18.72,19.07,19.43,19.63
12/04/1990,16.82,17.25,17.5,17.7,17.7,17.78,18.51,19.01,19.34,19.53
13/04/1990,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/04/1990,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.85,18.67,19.26,19.57,19.77
17/04/1990,16.7,17.19,17.46,17.65,17.75,17.44,18.39,19.06,19.46,19.76
18/04/1990,16.4,16.94,17.4,17.55,17.65,16.96,18.09,18.74,19.12,19.46
19/04/1990,17.01,17.53,17.71,17.81,17.71,18.06,18.87,19.41,19.68,19.89
20/04/1990,17.21,17.64,17.87,17.94,17.81,17.95,18.82,19.31,19.56,19.79
23/04/1990,17.55,17.78,17.8,17.93,17.73,19.07,19.51,19.74,19.92,20.05
24/04/1990,17.48,17.8,18,18.13,17.93,19,19.47,19.7,19.91,20.07
25/04/1990,17.21,17.62,17.81,17.94,17.74,18.66,19.17,19.48,19.71,19.87
26/04/1990,17.09,17.42,17.65,17.49,17.29,18.47,19.08,19.44,19.68,19.84
27/04/1990,17.08,17.43,17.68,17.86,17.92,18.54,19.2,19.53,19.77,19.93
30/04/1990,17.12,17.51,17.75,17.81,17.87,18.54,19.27,19.67,19.97,20.16
01/05/1990,17.25,17.74,18,18.02,18.09,18.88,19.52,19.93,20.17,20.33
02/05/1990,17.19,17.59,17.86,17.88,17.95,18.68,19.31,19.72,20.01,20.19
03/05/1990,16.54,17.17,17.5,17.52,17.59,17.99,18.58,19.07,19.43,19.69
04/05/1990,16.33,16.84,17.27,17.5,17.65,17.98,18.59,19.1,19.48,19.78
07/05/1990,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.27,18.86,19.29,19.64,19.92
08/05/1990,16.7,17.21,17.55,17.71,17.56,18.28,18.89,19.27,19.56,19.76
09/05/1990,17.33,17.7,18,18.02,18.01,18.99,19.44,19.67,19.84,19.95
10/05/1990,17.22,17.73,17.9,18.08,17.91,19.02,19.48,19.69,19.84,19.94
11/05/1990,17.6,17.8,17.78,17.78,17.78,18.95,19.34,19.58,19.78,19.88
14/05/1990,18.1,18.14,18.22,18.13,18.07,19.71,19.98,20.07,20.18,20.25
